"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 11월","107.77","101.91","107.79","100.01","4.41M","6.33%"
"2022년 10월","101.35","103.61","105.12","98.41","435.07M","-1.07%"
"2022년 9월","102.45","108.19","109.25","101.40","449.89M","-6.24%"
"2022년 8월","109.27","114.38","114.98","109.21","418.20M","-4.66%"
"2022년 7월","114.61","110.66","115.07","109.71","350.61M","4.16%"
"2022년 6월","110.03","114.66","114.90","107.10","441.12M","-3.85%"
"2022년 5월","114.44","111.69","115.66","110.18","429.56M","1.63%"
"2022년 4월","112.60","120.06","121.55","112.38","415.40M","-6.90%"
"2022년 3월","120.94","124.84","125.83","118.40","499.99M","-3.09%"
"2022년 2월","124.80","127.59","128.30","122.22","421.00M","-2.32%"
"2022년 1월","127.76","131.78","131.79","126.85","364.83M","-3.59%"
"2021년 12월","132.52","132.77","134.56","131.48","292.48M","-0.41%"
"2021년 11월","133.06","132.61","135.31","130.81","326.43M","-0.31%"
"2021년 10월","133.48","133.23","134.06","131.54","293.70M","0.34%"
"2021년 9월","133.03","135.33","136.26","132.97","314.83M","-1.68%"
"2021년 8월","135.30","135.92","136.78","133.57","295.15M","-0.52%"
"2021년 7월","136.01","134.05","136.54","133.74","294.33M","1.23%"
"2021년 6월","134.36","131.44","134.62","131.11","292.94M","2.01%"
"2021년 5월","131.71","131.13","132.34","129.78","229.46M","0.43%"
"2021년 4월","131.15","130.46","132.32","129.92","269.55M","0.85%"
"2021년 3월","130.05","131.64","132.17","127.91","425.15M","-1.68%"
"2021년 2월","132.27","135.37","135.70","129.78","301.93M","-2.46%"
"2021년 1월","135.60","137.89","137.89","134.74","293.60M","-1.83%"
