"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 01- 01","71.55","66.46","71.82","65.90","412.92M","9.00%"
"2022- 12- 01","65.64","67.87","68.78","65.09","469.24M","-2.21%"
"2022- 11- 01","67.12","60.50","67.35","58.06","504.43M","13.17%"
"2022- 10- 01","59.31","56.59","60.25","54.61","584.99M","5.89%"
"2022- 09- 01","56.01","60.80","63.58","55.22","578.47M","-9.22%"
"2022- 08- 01","61.70","65.70","66.77","61.68","385.10M","-6.12%"
"2022- 07- 01","65.72","61.71","65.76","59.54","408.54M","5.17%"
"2022- 06- 01","62.49","70.42","70.73","61.12","613.96M","-10.74%"
"2022- 05- 01","70.01","68.39","70.47","64.63","722.12M","2.00%"
"2022- 04- 01","68.64","74.06","74.62","68.07","593.37M","-6.74%"
"2022- 03- 01","73.60","72.91","75.38","66.54","830.49M","0.52%"
"2022- 02- 01","73.22","76.29","77.90","70.98","727.53M","-3.43%"
"2022- 01- 01","75.82","79.14","80.04","73.53","782.11M","-3.63%"
