"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 01- 01","91.73","91.48","91.74","91.47","139.44M","0.28%"
"2022- 12- 01","91.47","91.43","91.60","91.33","142.22M","-0.22%"
"2022- 11- 01","91.67","91.41","91.67","91.39","125.05M","0.09%"
"2022- 10- 01","91.59","91.45","91.61","91.42","133.21M","-0.01%"
"2022- 09- 01","91.60","91.43","91.60","91.42","133.69M","0.05%"
"2022- 08- 01","91.55","91.37","91.55","91.37","138.79M","0.09%"
"2022- 07- 01","91.47","91.43","91.48","91.40","138.23M","-0.02%"
"2022- 06- 01","91.49","91.44","91.49","91.41","127.56M","0.04%"
"2022- 05- 01","91.45","91.44","91.48","91.42","123.25M","0.03%"
"2022- 04- 01","91.42","91.42","91.44","91.41","76.05M","-0.01%"
"2022- 03- 01","91.43","91.42","91.43","91.40","90.89M","0.02%"
"2022- 02- 01","91.41","91.41","91.43","91.40","90.52M","-0.02%"
"2022- 01- 01","91.43","91.43","91.43","91.41","74.43M","0.00%"
