"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","37.90","39.62","39.69","37.57","38.30M","-4.10%"
"2022년 11월","39.52","35.10","39.68","34.28","1.02B","15.59%"
"2022년 10월","34.19","35.12","36.76","33.49","847.98M","-1.98%"
"2022년 9월","34.88","39.05","39.64","34.72","950.78M","-11.54%"
"2022년 8월","39.43","39.55","41.20","39.14","739.28M","-1.33%"
"2022년 7월","39.96","39.62","40.26","38.05","759.29M","-0.35%"
"2022년 6월","40.10","42.91","43.23","39.26","998.49M","-5.96%"
"2022년 5월","42.64","42.26","43.17","38.94","1.16B","0.61%"
"2022년 4월","42.38","46.01","46.78","41.15","970.80M","-6.14%"
"2022년 3월","45.15","46.50","46.85","40.80","1.61B","-3.38%"
"2022년 2월","46.73","49.02","50.11","45.01","922.70M","-4.32%"
"2022년 1월","48.84","49.08","50.89","46.66","977.55M","-0.02%"
"2021년 12월","48.85","49.61","50.42","47.15","961.45M","0.02%"
