"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 12월","65.64","67.89","68.77","65.09","25.63M","-2.21%"
"2022년 11월","67.12","60.50","67.35","58.06","504.43M","13.17%"
"2022년 10월","59.31","56.59","60.25","54.61","584.99M","5.89%"
"2022년 9월","56.01","60.80","63.58","55.22","578.47M","-9.22%"
"2022년 8월","61.70","65.70","66.77","61.68","385.10M","-6.12%"
"2022년 7월","65.72","61.71","65.76","59.54","408.54M","5.17%"
"2022년 6월","62.49","70.42","70.73","61.12","613.96M","-10.74%"
"2022년 5월","70.01","68.39","70.47","64.63","722.12M","2.00%"
"2022년 4월","68.64","74.06","74.62","68.07","593.37M","-6.74%"
"2022년 3월","73.60","72.91","75.38","66.54","830.49M","0.52%"
"2022년 2월","73.22","76.29","77.90","70.98","727.53M","-3.43%"
"2022년 1월","75.82","79.14","80.04","73.53","782.11M","-3.63%"
"2021년 12월","78.68","77.89","79.68","76.00","635.18M","2.39%"
